Cause,Meaning,Shorthand
"COVID-19","A disease caused by the coronavirus SARS-CoV-2 that causes an infection of the respiratory tract","COVID-19"
"Atherosclerotic heart disease","A form of atherosclerosis, a condition in which plaque builds up on the walls of arteries and increases the risk of other heart diseases","Atherosclerotic heart disease"
"Alzheimer disease, unspecified","The most common type of dementia, which causes a decline in memory, thinking, and every day functioning. It is most common in the elderly and worsens over time","Alzheimer disease"
"Bronchus or lung, unspecified - Malignant neoplasms","Cancer, a disease in which cells grow out of control, in the lungs","Bronchus or lung malignant neoplasms"
"Acute myocardial infarction, unspecified","Heart attack, where heart muscle dies due to an insufficient blood supply from a blockage of an artery","Acute myocardial infarction"
"Atherosclerotic cardiovascular disease, so described","A form of atherosclerosis, a condition in which plaque builds up on the walls of arteries and increases the risk of other heart diseases","Atherosclerotic cardiovascular disease"
"Chronic obstructive pulmonary disease, unspecified","COPD, in which airflow in the lungs is obstructed by inflammation, causing a cough, mucus production, and difficulty breathing","Chronic obstructive pulmonary disease"
"Unspecified dementia","The loss of intellectual abilities, including the ability to think and remember; personality changes; and emotional problems that is common in the elderly","Unspecified dementia"
"Stroke, not specified as haemorrhage or infarction","The death of a part of the brain due to a loss of blood supply from a blockage or a burst blood vessel","Stroke"
"Cardiac arrest, unspecified","The sudden loss of heart activity due to an irregular heart beat","Cardiac arrest"
"Congestive heart failure","The decrease in the heart muscle's ability to pump blood, resulting in the body's blood demands being unmet and heart congested with blood","Congestive heart failure"
"Intentional self-harm by other and unspecified firearm discharge","Suicide using an unspecified type of firearm","Intentional self-harm by firearm discharge"
"Pneumonia, unspecified","A lung infection in which the air sacs in the lungs are inflamed and filled with fluid or pus, causing symptoms including coughing and difficulty breathing","Pneumonia"
"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","Includes accidental overdose, use of the incorrect drug, unknowing use a drug, accidents with drugs during medical procedures, and poisoning with unknown intent. Drugs in this category include cannabis (derivatives), cocaine, codeine, heroin, lysergide (LSD), mescaline, methadone, morphine, and opium (alkaloids)","Accidental poisoning by or exposure to narcotics/hallucinogens"
"Hypertensive heart disease without (congestive) heart failure","Chronic high blood pressure, which makes it harder for the heart to pump blood and causes the heart muscle to thicken and weaken. It increases the risk of other cardiovascular events, like a stroke or cardiac arrest.","Hypertensive heart disease"
"Other ill-defined and unspecified causes of mortality","Unexplained or unknown cause of death","Other ill-defined and unspecified causes of mortality"
"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","Includes accidental overdose, use of the incorrect drug, unknowing use a drug, accidents with drugs during medical procedures, and poisoning with unknown intent. Drugs in this category include anaesthetics, hormones, antibiotics, vaccines, and drugs/agents affecting the cardiovascular, gastrointestinal, or respiratory systems","Accidental poisoning by or exposure to unspecified drugs or medical/biological substances"
