LocationID,Year,LocationAbbr,LocationDesc,GeographicLevel,DataSource,Class,Topic,Data_Value,Data_Value_Unit,Data_Value_Type,Data_Value_Footnote_Symbol,Data_Value_Footnote,Confidence_limit_Low,Confidence_limit_High,StratificationCategory1,Stratification1,TopicID,X_long,Y_lat
1001,2012,AL,Autauga,County,NVSS,Cardiovascular Diseases,Stroke,21.5,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,17.6,25.9,Age group,Ages 35-64 years,T6,-86.64295911,32.53530561
1001,2012,AL,Autauga,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,58.1,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,48.4,69.1,Age group,Ages 35-64 years,T2,-86.64295911,32.53530561
1001,2012,AL,Autauga,County,NVSS,Cardiovascular Diseases,Stroke,317.4,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,273.9,382.1,Age group,Ages 65 years and older,T6,-86.64295911,32.53530561
1001,2012,AL,Autauga,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,599.1,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,517.6,692.7,Age group,Ages 65 years and older,T2,-86.64295911,32.53530561
1003,2012,AL,Baldwin,County,NVSS,Cardiovascular Diseases,Stroke,15.7,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,13.1,18.7,Age group,Ages 35-64 years,T6,-87.72274056,30.72767233
1003,2012,AL,Baldwin,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,66.1,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,58.2,75.4,Age group,Ages 35-64 years,T2,-87.72274056,30.72767233
1003,2012,AL,Baldwin,County,NVSS,Cardiovascular Diseases,Stroke,302.5,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,270.9,339.1,Age group,Ages 65 years and older,T6,-87.72274056,30.72767233
1003,2012,AL,Baldwin,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,759.1,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,693.5,835.6,Age group,Ages 65 years and older,T2,-87.72274056,30.72767233
1005,2012,AL,Barbour,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,37,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,27.1,46.4,Age group,Ages 35-64 years,T2,-85.39257759,31.86971146
1005,2012,AL,Barbour,County,NVSS,Cardiovascular Diseases,Stroke,26,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,19.3,33.3,Age group,Ages 35-64 years,T6,-85.39257759,31.86971146
1005,2012,AL,Barbour,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,388.5,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,322.3,449.5,Age group,Ages 65 years and older,T2,-85.39257759,31.86971146
1005,2012,AL,Barbour,County,NVSS,Cardiovascular Diseases,Stroke,302,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,256.1,349.2,Age group,Ages 65 years and older,T6,-85.39257759,31.86971146
1007,2012,AL,Bibb,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,71.6,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,59.5,89.6,Age group,Ages 35-64 years,T2,-87.12660674,32.99841716
1007,2012,AL,Bibb,County,NVSS,Cardiovascular Diseases,Stroke,379,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,333.8,438.8,Age group,Ages 65 years and older,T6,-87.12660674,32.99841716
1007,2012,AL,Bibb,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,606.4,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,517.7,707.4,Age group,Ages 65 years and older,T2,-87.12660674,32.99841716
1007,2012,AL,Bibb,County,NVSS,Cardiovascular Diseases,Stroke,33.8,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,26.9,43.1,Age group,Ages 35-64 years,T6,-87.12660674,32.99841716
1009,2012,AL,Blount,County,NVSS,Cardiovascular Diseases,Stroke,18.4,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,15.5,22.1,Age group,Ages 35-64 years,T6,-86.56682287,33.98117779
1009,2012,AL,Blount,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,78.5,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,65.4,92.9,Age group,Ages 35-64 years,T2,-86.56682287,33.98117779
1009,2012,AL,Blount,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,650.8,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,576.8,735.1,Age group,Ages 65 years and older,T2,-86.56682287,33.98117779
1009,2012,AL,Blount,County,NVSS,Cardiovascular Diseases,Stroke,294.1,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,257,330.2,Age group,Ages 65 years and older,T6,-86.56682287,33.98117779
1011,2012,AL,Bullock,County,NVSS,Cardiovascular Diseases,Stroke,35.9,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,28.7,47.6,Age group,Ages 35-64 years,T6,-85.71572943,32.10045868
1011,2012,AL,Bullock,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,87,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,58.3,115.3,Age group,Ages 35-64 years,T2,-85.71572943,32.10045868
1011,2012,AL,Bullock,County,NVSS,Cardiovascular Diseases,Stroke,301.7,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,253.2,341.5,Age group,Ages 65 years and older,T6,-85.71572943,32.10045868
1011,2012,AL,Bullock,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,647.4,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,499.5,770.9,Age group,Ages 65 years and older,T2,-85.71572943,32.10045868
1013,2012,AL,Butler,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,635.3,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,545,731.8,Age group,Ages 65 years and older,T2,-86.68033977,31.75263934
1013,2012,AL,Butler,County,NVSS,Cardiovascular Diseases,Stroke,31.5,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,24.9,43.2,Age group,Ages 35-64 years,T6,-86.68033977,31.75263934
1013,2012,AL,Butler,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,67.3,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,51.7,94.6,Age group,Ages 35-64 years,T2,-86.68033977,31.75263934
1013,2012,AL,Butler,County,NVSS,Cardiovascular Diseases,Stroke,319.2,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,283.1,380.8,Age group,Ages 65 years and older,T6,-86.68033977,31.75263934
1015,2012,AL,Calhoun,County,NVSS,Cardiovascular Diseases,Stroke,24,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,20.2,27.7,Age group,Ages 35-64 years,T6,-85.82551623,33.77143754
1015,2012,AL,Calhoun,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,115,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,99.8,133,Age group,Ages 35-64 years,T2,-85.82551623,33.77143754
1015,2012,AL,Calhoun,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,790.6,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,714.2,874,Age group,Ages 65 years and older,T2,-85.82551623,33.77143754
1015,2012,AL,Calhoun,County,NVSS,Cardiovascular Diseases,Stroke,272,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,243.2,305.8,Age group,Ages 65 years and older,T6,-85.82551623,33.77143754
1017,2012,AL,Chambers,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,530.3,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,467.6,606.1,Age group,Ages 65 years and older,T2,-85.3918527,32.91366032
1017,2012,AL,Chambers,County,NVSS,Cardiovascular Diseases,Stroke,34,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,26.4,42.4,Age group,Ages 35-64 years,T6,-85.3918527,32.91366032
1017,2012,AL,Chambers,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,60,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,48.9,74.9,Age group,Ages 35-64 years,T2,-85.3918527,32.91366032
1017,2012,AL,Chambers,County,NVSS,Cardiovascular Diseases,Stroke,384.3,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,335.2,450.4,Age group,Ages 65 years and older,T6,-85.3918527,32.91366032
1019,2012,AL,Cherokee,County,NVSS,Cardiovascular Diseases,Stroke,20.7,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,17.2,27.5,Age group,Ages 35-64 years,T6,-85.60380974,34.17589658
1019,2012,AL,Cherokee,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,96.6,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,81.3,119.1,Age group,Ages 35-64 years,T2,-85.60380974,34.17589658
1019,2012,AL,Cherokee,County,NVSS,Cardiovascular Diseases,Stroke,312.4,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,270.8,379.7,Age group,Ages 65 years and older,T6,-85.60380974,34.17589658
1019,2012,AL,Cherokee,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,613.5,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,528.7,745.1,Age group,Ages 65 years and older,T2,-85.60380974,34.17589658
1021,2012,AL,Chilton,County,NVSS,Cardiovascular Diseases,Stroke,24.5,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,19.9,29.7,Age group,Ages 35-64 years,T6,-86.71859452,32.84808739
1021,2012,AL,Chilton,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,98.6,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,84,119.3,Age group,Ages 35-64 years,T2,-86.71859452,32.84808739
1021,2012,AL,Chilton,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,748.3,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,668.4,855.4,Age group,Ages 65 years and older,T2,-86.71859452,32.84808739
1021,2012,AL,Chilton,County,NVSS,Cardiovascular Diseases,Stroke,319.5,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,286.5,368,Age group,Ages 65 years and older,T6,-86.71859452,32.84808739
1023,2012,AL,Choctaw,County,NVSS,Cardiovascular Diseases,Stroke,29.9,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,24.2,35.6,Age group,Ages 35-64 years,T6,-88.26307263,32.02018207
1023,2012,AL,Choctaw,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,148.5,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,120.9,179.2,Age group,Ages 35-64 years,T2,-88.26307263,32.02018207
1023,2012,AL,Choctaw,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,798.9,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,694.2,922.2,Age group,Ages 65 years and older,T2,-88.26307263,32.02018207
1023,2012,AL,Choctaw,County,NVSS,Cardiovascular Diseases,Stroke,339.3,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,292.7,389,Age group,Ages 65 years and older,T6,-88.26307263,32.02018207
1025,2012,AL,Clarke,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,107.2,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,89.7,132.3,Age group,Ages 35-64 years,T2,-87.8307994,31.67669574
1025,2012,AL,Clarke,County,NVSS,Cardiovascular Diseases,Stroke,324.9,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,292.3,370.4,Age group,Ages 65 years and older,T6,-87.8307994,31.67669574
1025,2012,AL,Clarke,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,819.9,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,721.9,933.5,Age group,Ages 65 years and older,T2,-87.8307994,31.67669574
1025,2012,AL,Clarke,County,NVSS,Cardiovascular Diseases,Stroke,26.3,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,20.5,32.3,Age group,Ages 35-64 years,T6,-87.8307994,31.67669574
1027,2012,AL,Clay,County,NVSS,Cardiovascular Diseases,Stroke,25.6,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,20.2,33.5,Age group,Ages 35-64 years,T6,-85.86066416,33.26887291
1027,2012,AL,Clay,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,143,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,116.2,172.1,Age group,Ages 35-64 years,T2,-85.86066416,33.26887291
1027,2012,AL,Clay,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,1083,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,933.7,1259.2,Age group,Ages 65 years and older,T2,-85.86066416,33.26887291
1027,2012,AL,Clay,County,NVSS,Cardiovascular Diseases,Stroke,277.1,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,228.4,324,Age group,Ages 65 years and older,T6,-85.86066416,33.26887291
1029,2012,AL,Cleburne,County,NVSS,Cardiovascular Diseases,Stroke,25.9,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,22.2,34.6,Age group,Ages 35-64 years,T6,-85.51884123,33.67436617
1029,2012,AL,Cleburne,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,61.6,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,51,81.6,Age group,Ages 35-64 years,T2,-85.51884123,33.67436617
1029,2012,AL,Cleburne,County,NVSS,Cardiovascular Diseases,Stroke,243.2,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,202.9,294.1,Age group,Ages 65 years and older,T6,-85.51884123,33.67436617
1029,2012,AL,Cleburne,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,532.8,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,453.6,619.7,Age group,Ages 65 years and older,T2,-85.51884123,33.67436617
1031,2012,AL,Coffee,County,NVSS,Cardiovascular Diseases,Stroke,24.9,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,18.8,30.2,Age group,Ages 35-64 years,T6,-85.98807083,31.40201383
1031,2012,AL,Coffee,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,73.4,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,57.1,87,Age group,Ages 35-64 years,T2,-85.98807083,31.40201383
1031,2012,AL,Coffee,County,NVSS,Cardiovascular Diseases,Stroke,300.8,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,259.3,349.8,Age group,Ages 65 years and older,T6,-85.98807083,31.40201383
1031,2012,AL,Coffee,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,684.2,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,599.5,785.9,Age group,Ages 65 years and older,T2,-85.98807083,31.40201383
